State,Predicted_cases_rf,Pct_c_rf,Predicted_deaths_rf,Pct_d_rf,Predicted_cases_knn,Pct_c_knn,Predicted_deaths_knn,Pct_d_knn,Reported_cases,Reported_deaths
VT,0.5237855891398219,-349.6622780807427,0.00989565599020301,-934.9255615693743,0.6884936750594439,-488.8604305870414,0.010173352590234719,-964.6617442885448,0.11004299626763797,0.0011646883275926922
ME,0.5706438495133042,-252.80630186538798,0.011973823183449323,-696.5194167171205,0.7122221505159828,-334.884706117667,0.01260340567724654,-742.7661386945924,0.13457437390726293,0.002491714774369825
HI,0.14957434885385948,-182.79428513731222,0.0034439050710053133,-566.7275381884575,0.22805423109175257,-303.51758924990054,0.003816194338561972,-639.2895625434317,0.030743323835217377,0.0005362328833576792
OR,1.3764747507073534,-79.63116259728835,0.028012873982080886,-303.49920917364364,1.840141066243497,-140.63799491097302,0.031178343069528693,-356.2716411950053,0.7712591320124278,0.009807964185330618
NH,0.3687961725967065,-109.53348021183767,0.0067945453738152035,-266.29174755147767,0.42675170622814323,-138.47414813040052,0.006993300881757889,-278.8673533975603,0.1494483913344168,0.002585845435750069
WA,1.4560883969971772,-47.42661015086751,0.02881018596744273,-203.93799180425674,2.008202932367759,-103.87061087107399,0.033047960138151276,-258.8316938570752,0.9921786724288064,0.013066245920136742
AK,1.5306479016317414,-51.8527755248159,0.025888040503199462,-202.49073350552723,1.7386536867125593,-66.61236969381586,0.030571048116876748,-244.5944051040855,0.7998908660275879,0.003365880066769686
WV,2.59249229471457,-54.14184936656495,0.0507446923517561,-187.20475138016587,2.6809532092974986,-59.105733662307784,0.05037084889952887,-184.54674446504424,1.6276354957184744,0.02441471174442754
KY,6.472838543654833,-22.485688568803752,0.12823549063780207,-155.1234463776894,6.168938689670857,-17.083501204580593,0.12121879355779154,-139.31941138961102,5.207906949826033,0.05936357064644754
CA,2.327200911983626,-23.211935808921126,0.046500375937569234,-150.13883724752435,2.8009524563246875,-45.42795836519241,0.04929781335795123,-166.76041143170258,1.83221174779961,0.021231770394259192
OK,4.561375375870779,-0.7499216514383158,0.07599563275877165,-98.83342194480737,4.237308107680156,6.688962444045886,0.07608735061953359,-99.10018313340477,4.528705817127937,0.04201471491902527
UT,1.8474664877053164,-22.016218817868744,0.024786190770360605,-93.47112355741575,1.7557654635912952,-17.52782976824734,0.02690585412050239,-106.616689929455,1.3976592650254442,0.009714393230876294
WY,1.6798714959669505,-19.8972194640121,0.023543766774770696,-88.28719071717475,1.5868756156177812,-13.73273845620698,0.026446157274923332,-112.66444322958812,1.3797068205930456,0.013032167754651075
NM,1.587554236088541,-5.5110126960027905,0.03859557693365287,-86.51706755712334,1.6541902165418798,-9.35028804121364,0.03480885054007849,-58.87309215775333,1.4919029213822301,0.02674429800288511
VA,5.481601243182563,-26.923181788063953,0.11240071125861241,-79.78570372092297,6.19080326104614,-43.893247969159106,0.11027888692181675,-73.3526214869199,4.356445062432147,0.08608498238628333
CO,2.772868514012273,1.5589317174560942,0.052933859671648625,-71.94216199352898,3.5931226460056105,-25.226447933936267,0.05944884672048369,-98.89838493457869,2.8206079972445877,0.03554632527270722
NV,0.6145778840856914,-0.42669772973987435,0.012503035753384921,-67.71702538813284,0.8350989575824551,-23.029391569175857,0.015071149212366254,-101.06891269092547,0.6104148474985791,0.007288787974163047
ID,2.922588100420204,-8.84697161366119,0.04088078319652805,-62.920201326875436,2.536748032423794,4.364902270791055,0.04052335351787499,-61.36944412083205,2.6642208045444558,0.02637848247955706
NC,4.162880237975442,-3.4435268767286713,0.0857492419281913,-58.17661461649835,4.575219946522461,-13.87415855821987,0.08164455808952452,-45.020390434297155,4.026752061649967,0.06759839511244976
MO,6.906205371084351,-11.719721267110971,0.10660737185544886,-57.44643011708114,5.896141178846494,4.344394023023883,0.10159680519254219,-47.34946664852237,6.169303862279385,0.07809987368097741
OH,5.051007366473375,-30.59675950190469,0.07342515862951697,-48.71803338661245,4.1075675182035525,-6.5286798877002905,0.066367798079673,-25.90591417601726,3.851651098556217,0.05835331354074628
NE,5.803400965375629,2.9222966622344058,0.08542287972552541,-29.529280762798265,5.791212435100352,3.0990399276564284,0.09205355017045724,-41.71202370705704,6.004927746359007,0.06935105336344555
MN,5.776944406422141,1.7488577989713023,0.07339299579990348,-18.175700545412976,5.142148927311888,13.00808047110953,0.07214113685049969,-15.362335516449336,5.875545087545614,0.06530538073566135
MD,0.8659598637096001,-6.793333221288816,0.01721891275421692,-13.84322473863624,1.043192254199739,-26.81214457395346,0.01840320624869435,-30.792480714861497,0.8058164983022014,0.016251646638019705
NY,2.2297161637590324,-31.962824890701253,0.04536918283438977,-10.421169559330943,2.940173458749003,-62.49195604798754,0.04808994491414861,-25.234855600103003,1.4858947298933658,0.043455174201715435
WI,3.9874756095597093,27.251339880641694,0.057535145143692165,-9.149243317398508,3.4725583355961986,36.43626889833665,0.05454569742366789,-2.3926868754734274,5.515215847525605,0.0534870498143277
PA,2.4036034736054326,-11.48549575110359,0.048242121345885736,1.3009110988256745,3.0685253389123828,-40.01326338927263,0.04994200640611476,-7.939958338638513,2.1359008844767664,0.04848142776142869
DC,0.04415649727011828,-29.86441766730808,0.0009884339945361376,5.612942059259282,0.0439716599743717,-29.32081051412988,0.0009594552843615469,16.411623046888717,0.034001998440589154,0.0010034965583203977
KS,6.559036700560628,15.298608615410132,0.08616836815304772,11.38131435942509,6.328573307269817,18.793279844824653,0.10028171382540174,-15.734987163537062,7.567935398801301,0.09209205297504576
AL,3.5885892693889057,9.983456047472227,0.0677655947706181,11.652122464323968,3.428621771740721,14.148425502959965,0.06512608734374552,20.359734302541845,3.9720322931283802,0.07129766123784669
MI,3.194278768900238,1.8837417547047985,0.06258483068789968,16.888368235963476,3.847565722638003,-16.372267214170034,0.06521555536333759,7.573572048808745,3.261688021089906,0.06735451605229864
AR,3.8758624104119126,15.095660847418884,0.07291961414919486,17.495992577667472,3.720989179038993,18.66926155488871,0.07306207019840369,17.07950057699449,4.530080373337242,0.07890390670601333
TN,4.761597644646471,27.31805274561655,0.08388423258499486,23.293360088316557,4.327497331882142,34.939716587292416,0.07942018982369495,33.22415791731825,6.317527621004115,0.09435494775602915
IA,6.314964746630159,18.2597835107853,0.07993294386619162,24.11384716360765,5.538160309174295,28.22057880168058,0.07360233033492122,34.39931906206145,7.73897562567379,0.09477479542653379
MT,3.713116955438214,1.2681486700537057,0.059595678434624544,27.72088723778251,3.0744329632677077,18.516747672651057,0.055917975887268316,40.305518598975,3.7600741752758164,0.06769676417033792
IL,4.940868057947615,25.239202499038605,0.07929254989935298,37.52494778811083,5.1296292328126905,22.339908435171203,0.0789900723195613,38.11361369949451,6.584089273673863,0.0985742089342323
FL,2.854532991030796,21.841595700366874,0.05674458790177472,39.18486663529717,3.1781761461592275,12.342805126458298,0.057273300749996765,37.218711174646266,3.5987206737157083,0.06728167047768153
RI,0.1539197290964991,14.427886843955852,0.0034345095359406205,45.81695544090896,0.21841878852846852,-8.35114774885277,0.004028959672339292,19.21623084057582,0.1947724319287704,0.004458387487403607
IN,5.102883310859018,2.602970062851528,0.06985506328161699,47.011294740499444,4.290424544507179,17.329850870508764,0.0650917437072215,57.951242941729994,5.2464850601863775,0.09032406517596858
DE,0.11103135718992234,14.554829140086703,0.0021071241053499056,53.26711605639111,0.14030600791671505,-7.718400730637672,0.0023582517476833215,29.0578234482682,0.1301613864644025,0.0026596741317250518
SC,2.343313853565218,-7.8131404761898455,0.042128612168548435,69.47364018243933,2.2954801412257506,-5.605180662830733,0.041529164289566205,72.9795812231375,2.174048311799157,0.05400725638107184
AZ,0.7284598824902874,19.319851646356383,0.014772413562232993,77.21125854689024,0.7950089687971637,11.019473324245496,0.014455249188332802,82.22354972005559,0.8833586623717378,0.019658135406601638
TX,12.28969054195009,-11.15517721716959,0.21705082318779662,86.67127692966032,13.937300723006059,-25.442120324289643,0.22644893972135482,76.34552285270584,11.003244350018896,0.2959357893245741
GA,8.721863516062568,-26.541951014227163,0.15399690157973217,88.49486604663508,8.212396676471547,-18.80809570387575,0.14639705369418624,103.11263603971786,6.973415509581368,0.20000580176932634
SD,4.4163582091014035,30.378558923904595,0.0577351948141497,105.73118110866753,4.02231123878382,36.45281578582002,0.06618760716098251,89.22213656768598,6.387064976810269,0.11186816043972933
ND,3.8849808839817808,26.511905661206406,0.04359957551887471,113.14748450219766,3.24735277492221,37.09850270699783,0.04952307395123826,100.68618569681388,5.481786373148958,0.09738441428584849
LA,3.6344210290685437,8.703930469148025,0.07034610681211631,120.64531049112907,3.440674928139117,14.160346489357861,0.06423613354435592,142.4479923409747,3.943479683121357,0.10415569166310425
MS,4.532266150189629,13.662538812073235,0.09171737545002459,133.15675037736074,4.4444504263273545,15.533053165863764,0.08469541059660515,152.1082470817446,5.173686374069377,0.14105501013557872
CT,0.2626806202210809,1.0790557909757552,0.005276557113062383,151.22962882685164,0.3627244095419152,-30.93048274096909,0.006052976907855574,119.75345155166745,0.26605314088738385,0.009006923617033204
MA,0.44785812606805975,2.0975285325020288,0.009866036568420408,184.31017717720053,0.6301980103358018,-31.29143279410531,0.010708860406288385,164.75534253063512,0.45931290317608325,0.017809903836758498
NJ,0.7196558750424625,9.88404352474388,0.013689819988554126,328.04676453251545,0.9393272732050402,-14.539065824258474,0.016124936377658657,293.7428827841206,0.8085569903572066,0.03697674881383848
